"","summary.lm_16..coefficients...4.","summary.lm1_16..coefficients...4.","summary.lm2_16..coefficients...4.","summary.lm3_16..coefficients...4.","summary.lm4_16..coefficients...4.","summary.lm5_16..coefficients...4.","summary.lm6_16..coefficients...4."
"(Intercept)",0.297387048876686,0.185912670644916,0.120015112043385,0.0421845367672303,0.0330070651794688,0.0140450595206363,0.343319889589059
"TA",0.745827822749096,0.682405965980521,0.701871083839479,0.833920173406248,0.92044573321889,0.799460652979573,0.124696753215043
"PA",0.252063916510557,0.675682844288408,0.112866432332055,0.531323853400188,0.883475331797594,0.743921768078328,0.482462513964171
"DL",0.711708630149435,0.589292789774663,0.857330442252376,0.484459802447128,0.346870305607442,0.396143990995628,0.216323287410965
"conflicts",0.125146040184657,0.0124459600422778,0.847350205564882,0.892118323537822,0.523723520209544,0.985990934177868,0.490814999513371
"inv_distance_2",6.99443750339166e-05,2.59230902866277e-05,0.000138893321848335,0.000264974116505779,0.000185548052926876,0.00030830416493216,8.43225268375185e-05
"gdp_mean_origin",0.481886497704596,0.888381454801716,0.135937745395874,0.0668831086032948,0.115517779057389,0.0308863108793489,0.0368286589784471
"gdp_mean_destination",0.0820957304176118,0.138988050368739,0.132597734936823,0.126497137279342,0.138897275013076,0.125282357531587,0.0926671951908558
"population_density_origin",0.563894409948147,0.7721514382615,0.158515114342768,0.0840515439610228,0.149382707836555,0.0389961736625831,0.0480954654612427
"population_density_destination",0.0967084944807019,0.159456421793813,0.154051129027875,0.147801879871411,0.160916840645977,0.146466593298814,0.109461422515594
