"","lm_c.coefficients","lm_lag1_c.coefficients","lm_lag2_c.coefficients","lm_lag3_c.coefficients","lm_lag4_c.coefficients","lm_lag5_c.coefficients","lm_lag6_c.coefficients"
"(Intercept)",2.55585336732692,2.55850059612903,2.55846417702621,2.56465326796331,2.56043000720298,2.55617717025103,2.55739220295431
"TA_dep",0.276971084851859,0.236693160966921,0.171055310419599,0.175291598681471,0.262932501934076,0.310237571650048,0.322689637398043
"PA_dep",0.137788264325099,0.0620818913705408,0.0528756748113891,0.0942789528755325,0.127408351702835,0.151344352523244,0.103319847248811
"DL_dep",-0.0316062325171663,-0.0142881975721036,0.00419852235387173,0.00440744665630724,-0.0276096196343188,-0.0406255743907064,-0.0646750663692903
"conflicts_dep",0.417818777610655,0.288805398472548,0.216334482676552,0.227944190035769,0.254916352955411,0.24382316142617,0.271820203582966
"TA_arr",-0.472326274589363,-0.396131313459599,-0.310897740962303,-0.331659097806067,-0.43035051897912,-0.483177859512428,-0.468178079201194
"PA_arr",-0.110749835483418,-0.0207070447162706,0.00978622994375405,-0.00677370779943629,-0.0328953600762557,-0.0679817127277943,-0.0469460943267594
"DL_arr",-0.0725332589356796,-0.117789011426551,-0.154211216633216,-0.15596194084447,-0.114699733107059,-0.10048049664356,-0.0810205583831922
"conflicts_arr",0.118359553705598,0.0714847680229897,0.0641880752729086,0.0508145594632164,0.0526592408629455,0.0193639000748531,0.0130813520214763
"dist_centroids",-0.937961346378017,-0.970516926016477,-0.980728690957831,-0.976942941697096,-0.974752286800851,-0.990163320500563,-0.988946630897474
"population_dep",-0.0509786183982303,0.0995178276877922,0.167746883826061,0.163305749822639,0.124826291373622,0.135618744735176,0.101892059123629
"population_arr",-0.215347051375585,-0.217148289245443,-0.223909596786713,-0.225050678863017,-0.2188410999142,-0.219474459673586,-0.215326864122119
"gdp_mean_dep",-0.196139942442559,-0.202761821795017,-0.197555916898,-0.20104033579167,-0.193024989539588,-0.18772621688459,-0.186585948116517
"gdp_mean_arr",0.128857240081208,0.165922240144614,0.177827291585863,0.187715515340694,0.183795007692115,0.209490706367508,0.211721607753956
