"","summary.lm_c..coefficients...4.","summary.lm_lag1_c..coefficients...4.","summary.lm_lag2_c..coefficients...4.","summary.lm_lag3_c..coefficients...4.","summary.lm_lag4_c..coefficients...4.","summary.lm_lag5_c..coefficients...4.","summary.lm_lag6_c..coefficients...4."
"(Intercept)",9.60543827780664e-268,6.72730120967061e-257,1.10855072278047e-251,2.14652938506531e-251,1.19228172409332e-256,1.46097707710105e-257,7.89959048313147e-259
"TA_dep",0.000321439834811134,0.00235561636582607,0.030750646370214,0.0330154199608871,0.00169707560976029,0.000238597016477369,9.99544904886079e-05
"PA_dep",0.00899159389408648,0.259843452910261,0.328354444694675,0.0819338427944115,0.0193563810655782,0.00312358488792295,0.0471074624756096
"DL_dep",0.539905947355096,0.782406346168386,0.93502450216511,0.932743598479993,0.597366956224215,0.444019138734437,0.22548271148327
"conflicts_dep",9.39996173773243e-31,3.58613474051189e-15,6.96826053701144e-09,6.88474658421167e-09,1.63799604955333e-10,9.23533194027421e-10,7.08376284651846e-12
"TA_arr",1.46912156838224e-09,5.55663092274764e-07,8.47623576982287e-05,4.85730953825813e-05,2.39311332582329e-07,8.328910690375e-09,1.49595426473065e-08
"PA_arr",0.0300582160024336,0.697467404576066,0.855327825220059,0.901803333958607,0.554610298946903,0.201387792705349,0.374947483009553
"DL_arr",0.185583468575085,0.0333989382446405,0.00526170810275111,0.00535770893326974,0.0413155096334993,0.079068931886961,0.158098999528465
"conflicts_arr",5.6246495711156e-05,0.0106627293819378,0.0224456395386616,0.0750799872375057,0.0630369311313903,0.485997692932441,0.640099585309626
"dist_centroids",3.32284627944923e-90,4.21348688125126e-93,4.04258273170494e-93,6.00906921018977e-92,2.5934878252181e-93,1.39700561645358e-96,5.13585198965445e-97
"population_dep",0.53435792705779,0.235524978136789,0.0490782118163319,0.0579606514415761,0.147838053996457,0.117523453202322,0.239663561684326
"population_arr",2.62393204643901e-06,3.50120818892403e-06,1.91435460296723e-06,1.80575686925278e-06,3.05661451926335e-06,2.63566225574358e-06,4.28098631805862e-06
"gdp_mean_dep",0.000727947149338999,0.000621353909235247,0.000929381386565906,0.000750068794156801,0.0011627095614559,0.00161154758934586,0.00171057136206372
"gdp_mean_arr",0.000764266137246376,1.93884047204996e-05,5.29683315091242e-06,1.96139898637458e-06,2.67383227894823e-06,8.73213349225994e-08,7.05632303610222e-08
